Segment,Clarity AI Appeal,DocTrust Appeal,Market Size,Growth Potential
Enterprise Legal Teams,High,High,Large,Steady
HR Departments,High,High,Large,Growing
University Administration,Medium,High,Medium,Stable
Startups,Medium,High,Large,High Growth
Small Businesses,Low,High,Very Large,High Growth
Non-Profits,Low,High,Large,Growing
Government Agencies,Medium,High,Large,Stable
Healthcare Organizations,High,High,Large,Growing
Financial Services,High,High,Large,Steady
Educational Institutions,Low,High,Large,Growing
